rule_kode,kode_bps,nama_wilayah,nilai_terdeteksi,pesan,severity,status
rasio_tt_defisit,3501,Kabupaten Pacitan,0.59,Rasio tempat tidur Kabupaten Pacitan (0.59 per 1.000) berada di bawah standar minimal WHO (1.0).,waspada,active
defisit_dokter,3501,Kabupaten Pacitan,0.172,Rasio dokter umum Kabupaten Pacitan (0.17 per 1.000) tergolong defisit kritis.,waspada,active
defisit_dokter,3502,Kabupaten Ponorogo,0.15,Rasio dokter umum Kabupaten Ponorogo (0.15 per 1.000) tergolong defisit kritis.,waspada,active
rasio_tt_defisit,3503,Kabupaten Trenggalek,0.93,Rasio tempat tidur Kabupaten Trenggalek (0.93 per 1.000) berada di bawah standar minimal WHO (1.0).,waspada,active
defisit_dokter,3503,Kabupaten Trenggalek,0.13,Rasio dokter umum Kabupaten Trenggalek (0.13 per 1.000) tergolong defisit kritis.,waspada,active
defisit_dokter,3504,Kabupaten Tulungagung,0.143,Rasio dokter umum Kabupaten Tulungagung (0.14 per 1.000) tergolong defisit kritis.,waspada,active
rasio_tt_defisit,3505,Kabupaten Blitar,0.75,Rasio tempat tidur Kabupaten Blitar (0.75 per 1.000) berada di bawah standar minimal WHO (1.0).,waspada,active
defisit_dokter,3505,Kabupaten Blitar,0.212,Rasio dokter umum Kabupaten Blitar (0.21 per 1.000) tergolong defisit kritis.,waspada,active
rasio_tt_defisit,3506,Kabupaten Kediri,0.82,Rasio tempat tidur Kabupaten Kediri (0.82 per 1.000) berada di bawah standar minimal WHO (1.0).,waspada,active
defisit_dokter,3506,Kabupaten Kediri,0.167,Rasio dokter umum Kabupaten Kediri (0.17 per 1.000) tergolong defisit kritis.,waspada,active
defisit_dokter,3507,Kabupaten Malang,0.133,Rasio dokter umum Kabupaten Malang (0.13 per 1.000) tergolong defisit kritis.,waspada,active
defisit_dokter,3508,Kabupaten Lumajang,0.162,Rasio dokter umum Kabupaten Lumajang (0.16 per 1.000) tergolong defisit kritis.,waspada,active
rasio_tt_defisit,3509,Kabupaten Jember,0.84,Rasio tempat tidur Kabupaten Jember (0.84 per 1.000) berada di bawah standar minimal WHO (1.0).,waspada,active
defisit_dokter,3509,Kabupaten Jember,0.189,Rasio dokter umum Kabupaten Jember (0.19 per 1.000) tergolong defisit kritis.,waspada,active
rasio_tt_defisit,3510,Kabupaten Banyuwangi,0.86,Rasio tempat tidur Kabupaten Banyuwangi (0.86 per 1.000) berada di bawah standar minimal WHO (1.0).,waspada,active
defisit_dokter,3510,Kabupaten Banyuwangi,0.213,Rasio dokter umum Kabupaten Banyuwangi (0.21 per 1.000) tergolong defisit kritis.,waspada,active
rasio_tt_defisit,3511,Kabupaten Bondowoso,0.75,Rasio tempat tidur Kabupaten Bondowoso (0.75 per 1.000) berada di bawah standar minimal WHO (1.0).,waspada,active
defisit_dokter,3511,Kabupaten Bondowoso,0.129,Rasio dokter umum Kabupaten Bondowoso (0.13 per 1.000) tergolong defisit kritis.,waspada,active
defisit_dokter,3512,Kabupaten Situbondo,0.128,Rasio dokter umum Kabupaten Situbondo (0.13 per 1.000) tergolong defisit kritis.,waspada,active
rasio_tt_defisit,3513,Kabupaten Probolinggo,0.76,Rasio tempat tidur Kabupaten Probolinggo (0.76 per 1.000) berada di bawah standar minimal WHO (1.0).,waspada,active
defisit_dokter,3513,Kabupaten Probolinggo,0.147,Rasio dokter umum Kabupaten Probolinggo (0.15 per 1.000) tergolong defisit kritis.,waspada,active
defisit_dokter,3514,Kabupaten Pasuruan,0.134,Rasio dokter umum Kabupaten Pasuruan (0.13 per 1.000) tergolong defisit kritis.,waspada,active
defisit_dokter,3515,Kabupaten Sidoarjo,0.185,Rasio dokter umum Kabupaten Sidoarjo (0.18 per 1.000) tergolong defisit kritis.,waspada,active
defisit_dokter,3516,Kabupaten Mojokerto,0.139,Rasio dokter umum Kabupaten Mojokerto (0.14 per 1.000) tergolong defisit kritis.,waspada,active
defisit_dokter,3517,Kabupaten Jombang,0.15,Rasio dokter umum Kabupaten Jombang (0.15 per 1.000) tergolong defisit kritis.,waspada,active
rasio_tt_defisit,3518,Kabupaten Nganjuk,0.86,Rasio tempat tidur Kabupaten Nganjuk (0.86 per 1.000) berada di bawah standar minimal WHO (1.0).,waspada,active
defisit_dokter,3518,Kabupaten Nganjuk,0.137,Rasio dokter umum Kabupaten Nganjuk (0.14 per 1.000) tergolong defisit kritis.,waspada,active
defisit_dokter,3519,Kabupaten Madiun,0.201,Rasio dokter umum Kabupaten Madiun (0.20 per 1.000) tergolong defisit kritis.,waspada,active
